zipcode,model,order,sorder,trend,AIC,BIC,CV_RMSE
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC060DD8>,"(0, 1, 2)","(0, 0, 2, 12)",,3632.1138685814617,3648.1885473695065,308997.4287571698
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC0A4390>,"(0, 1, 2)","(0, 1, 0, 12)",,4100.578758194399,4110.4131021720905,152107.46770476413
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABDECF28>,"(0, 1, 2)","(0, 1, 1, 12)",,3679.8676760816106,3692.7274191120464,158778.9026233868
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABDEC2B0>,"(0, 1, 2)","(0, 1, 2, 12)",,3423.8243776262825,3439.5618500103496,1805601.0304360127
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABA98B38>,"(0, 1, 2)","(1, 0, 0, 12)",,3924.444757109548,3937.617976408446,98799.47383936544
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABDEC518>,"(0, 1, 2)","(1, 0, 1, 12)",,3866.756693647983,3883.1472669441355,98801.25017409175
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4AC060A58>,"(0, 1, 2)","(1, 0, 2, 12)",,3634.1046062528485,3653.3942207985024,352646.92547924316
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABB1B400>,"(0, 1, 2)","(1, 1, 0, 12)",,3753.295568406379,3766.2200028737975,169516.5012880682
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABA982E8>,"(0, 1, 2)","(1, 1, 1, 12)",,3612.1127109001054,3628.1873896881502,158219.19835443606
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABDEC0F0>,"(0, 1, 2)","(1, 1, 2, 12)",,3389.334457063079,3408.2194239239598,13380640009.24657
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABAA8710>,"(0, 1, 2)","(2, 0, 0, 12)",,3692.468219373859,3708.6237624581318,262513.96350895206
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE34908>,"(0, 1, 2)","(2, 0, 1, 12)",,3693.3446361729657,3712.731287874093,2381284.964641597
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE341D0>,"(0, 1, 2)","(2, 0, 2, 12)",,3636.1044754346576,3658.6090257379205,312076.97687165916
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE34780>,"(0, 1, 2)","(2, 1, 0, 12)",,3449.1084559792025,3464.93238584882,235854.4930737353
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABAA8208>,"(0, 1, 2)","(2, 1, 1, 12)",,3429.274705032703,3448.2634208762443,205687.74415932517
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABB648D0>,"(0, 1, 2)","(2, 1, 2, 12)",,3366.902050417034,3388.934511754728,58025406.75257494
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABB64EF0>,"(1, 0, 0)","(0, 0, 0, 12)",,4355.217371531937,4361.921087798889,181990.80290345626
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABE34F98>,"(1, 0, 0)","(0, 0, 1, 12)",,4147.24449441918,4157.124408893354,243095.3141468971
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4A6663160>,"(1, 0, 0)","(0, 0, 2, 12)",,3874.901675486959,3887.8261099543774,358481.34591807745
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA934E0>,"(1, 0, 0)","(0, 1, 0, 12)",,4159.143599147987,4165.730208797436,435849.13204244775
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABAAC6D8>,"(1, 0, 0)","(0, 1, 1, 12)",,3956.7565093269177,3966.4498351774814,447602.3065988579
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACA93390>,"(1, 0, 0)","(0, 1, 2, 12)",,4550.767682639082,4563.4268265347755,3165694.3539446355
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABAACC18>,"(1, 0, 0)","(1, 0, 0, 12)",,4090.939301935206,4100.81921640938,321528.46934595396
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABAAC4E0>,"(1, 0, 0)","(1, 0, 1, 12)",,4097.461548786514,4110.634768085412,254905.1141233625
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACB2DB70>,"(1, 0, 0)","(1, 0, 2, 12)",,3896.757792416713,3912.913335500986,450411.12462785555
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACD89BE0>,"(1, 0, 0)","(1, 1, 0, 12)",,3896.2846467802706,3905.9779726308343,390577.8306129901
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ACD89160>,"(1, 0, 0)","(1, 1, 1, 12)",,5450.961962627522,5463.88639709494,388626.7750693386
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4ABAACC50>,"(1, 0, 0)","(1, 1, 2, 12)",,4325.740714835329,4341.564644704946,420337.7750749018
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4900610B8>,"(1, 0, 0)","(2, 0, 0, 12)",,3856.0436808982286,3868.968115365647,185922.26688760414
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A490061588>,"(1, 0, 0)","(2, 0, 1, 12)",,3908.9151116459443,3925.070654730217,588535.2599615614
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A490061D30>,"(1, 0, 0)","(2, 0, 2, 12)",,3915.004023923546,3934.3906756246733,447641.3392362144
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4900A1240>,"(1, 0, 0)","(2, 1, 0, 12)",,3645.7134251984285,3658.3725690941224,456102.7838821582
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A490061DA0>,"(1, 0, 0)","(2, 1, 1, 12)",,4358.322617620283,4374.1465474899005,23086143.42625968
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4900A1EF0>,"(1, 0, 0)","(2, 1, 2, 12)",,4326.062760877678,4345.051476721219,431550324.1130464
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4900CC240>,"(1, 0, 1)","(0, 0, 0, 12)",,4168.383151753489,4178.424474345641,182200.55715479644
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A490061908>,"(1, 0, 1)","(0, 0, 1, 12)",,4018.749323225609,4031.902391348387,673039.0342020829
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A4901066A0>,"(1, 0, 1)","(0, 0, 2, 12)",,3764.44082212159,3780.569555490156,637577.3631515744
20008,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x000002A490106080>,"(1, 0, 1)","(0, 1, 0, 12)",,4078.416197859071,4088.2809989511547,429778.9793514527
