zipcode,order,sorder,trend,AIC,BIC,CVRMSE
20002,"(1, 0, 1)","(2, 0, 1, 12)",,3361.2,3380.6,126195.5
20002,"(1, 0, 1)","(2, 0, 2, 12)",,3320.0,3342.6,25110710.9
20002,"(1, 0, 1)","(2, 1, 0, 12)",,3077.7,3093.6,150427.3
20002,"(1, 0, 1)","(2, 1, 1, 12)",,3079.6,3098.6,151413.2
20002,"(1, 0, 1)","(2, 1, 2, 12)",,3064.4,3086.6,26538550.2
20002,"(1, 0, 2)","(0, 0, 0, 12)",,3697.0,3710.4,96068.9
20002,"(1, 0, 2)","(0, 0, 1, 12)",,3439.5,3455.9,102173.9
20002,"(1, 0, 2)","(0, 0, 2, 12)",,3982.4,4001.7,25045960.7
20002,"(1, 0, 2)","(0, 1, 0, 12)",,3623.1,3636.2,126574.3
20002,"(1, 0, 2)","(0, 1, 1, 12)",,3134.5,3150.6,3.9752727144526785e+22
20002,"(1, 0, 2)","(0, 1, 2, 12)",,3418.9,3437.8,1916842136.6
20002,"(1, 0, 2)","(1, 0, 0, 12)",,3524.2,3540.6,96815.2
20002,"(1, 0, 2)","(1, 0, 1, 12)",,3485.2,3504.9,89068.5
20002,"(1, 0, 2)","(1, 0, 2, 12)",,4041.5,4064.1,25200934.3
20002,"(1, 0, 2)","(1, 1, 0, 12)",,3076.5,3092.6,129728.1
20002,"(1, 0, 2)","(1, 1, 1, 12)",,3195.4,3214.7,122904.8
20002,"(1, 0, 2)","(1, 1, 2, 12)",,2990.1,3012.2,3760685376.6
20002,"(1, 0, 2)","(2, 0, 0, 12)",,3309.4,3328.8,110160.6
20002,"(1, 0, 2)","(2, 0, 1, 12)",,3311.3,3334.0,4052162.7
20002,"(1, 0, 2)","(2, 0, 2, 12)",,3470.3,3496.1,25095189.1
20002,"(1, 0, 2)","(2, 1, 0, 12)",,3022.4,3041.3,146748.9
20002,"(1, 0, 2)","(2, 1, 1, 12)",,3284.4,3306.5,113543.6
20002,"(1, 0, 2)","(2, 1, 2, 12)",,2992.2,3017.4,25226755.8
20002,"(1, 1, 0)","(0, 0, 0, 12)",,3317.2,3323.9,99537.1
20002,"(1, 1, 0)","(0, 0, 1, 12)",,3142.9,3152.8,102365.1
20002,"(1, 1, 0)","(0, 0, 2, 12)",,2952.4,2965.3,25094959.5
20002,"(1, 1, 0)","(0, 1, 0, 12)",,3261.7,3268.3,55432.2
20002,"(1, 1, 0)","(0, 1, 1, 12)",,3054.0,3063.7,53613.0
20002,"(1, 1, 0)","(0, 1, 2, 12)",,2843.3,2856.0,529106082258.4
20002,"(1, 1, 0)","(1, 0, 0, 12)",,3137.2,3147.1,99104.7
20002,"(1, 1, 0)","(1, 0, 1, 12)",,3124.8,3137.9,100985.5
20002,"(1, 1, 0)","(1, 0, 2, 12)",,2938.2,2954.3,25096116.8
20002,"(1, 1, 0)","(1, 1, 0, 12)",,3052.4,3062.1,86139.0
20002,"(1, 1, 0)","(1, 1, 1, 12)",,3052.2,3065.1,80490.0
20002,"(1, 1, 0)","(1, 1, 2, 12)",,2811.9,2827.7,25056122.9
20002,"(1, 1, 0)","(2, 0, 0, 12)",,2936.2,2949.1,118216.3
20002,"(1, 1, 0)","(2, 0, 1, 12)",,2939.2,2955.3,104539.4
20002,"(1, 1, 0)","(2, 0, 2, 12)",,2939.7,2959.1,25095925.2
20002,"(1, 1, 0)","(2, 1, 0, 12)",,2826.3,2838.9,101536.9
20002,"(1, 1, 0)","(2, 1, 1, 12)",,2820.9,2836.7,89037.3
20002,"(1, 1, 0)","(2, 1, 2, 12)",,2822.1,2841.1,25097500.3
20002,"(1, 1, 1)","(0, 0, 0, 12)",,3267.3,3277.3,91408.2
20002,"(1, 1, 1)","(0, 0, 1, 12)",,3080.6,3093.8,85813.5
20002,"(1, 1, 1)","(0, 0, 2, 12)",,2886.2,2902.3,25085345.0
20002,"(1, 1, 1)","(0, 1, 0, 12)",,3225.2,3235.0,54472.6
20002,"(1, 1, 1)","(0, 1, 1, 12)",,2981.1,2993.9,58759.3
20002,"(1, 1, 1)","(0, 1, 2, 12)",,2750.9,2766.6,82586199.9
20002,"(1, 1, 1)","(1, 0, 0, 12)",,3092.8,3105.9,90744.4
20002,"(1, 1, 1)","(1, 0, 1, 12)",,3063.2,3079.6,94927.7
20002,"(1, 1, 1)","(1, 0, 2, 12)",,2881.3,2900.6,25083161.0
20002,"(1, 1, 1)","(1, 1, 0, 12)",,3028.8,3041.7,67577.3
20002,"(1, 1, 1)","(1, 1, 1, 12)",,2963.3,2979.4,60330.8
20002,"(1, 1, 1)","(1, 1, 2, 12)",,2751.9,2770.8,25064751.7
20002,"(1, 1, 1)","(2, 0, 0, 12)",,2909.6,2925.7,92706.1
20002,"(1, 1, 1)","(2, 0, 1, 12)",,2899.4,2918.7,98079.2
20002,"(1, 1, 1)","(2, 0, 2, 12)",,2869.4,2892.0,25083027.9
20002,"(1, 1, 1)","(2, 1, 0, 12)",,2824.5,2840.3,77687.1
20002,"(1, 1, 1)","(2, 1, 1, 12)",,2785.1,2804.1,85866.5
20002,"(1, 1, 1)","(2, 1, 2, 12)",,2752.0,2774.0,25064062.4
20002,"(1, 1, 2)","(0, 0, 0, 12)",,3235.6,3249.0,84413.0
20002,"(1, 1, 2)","(0, 0, 1, 12)",,3065.2,3081.6,78481.4
20002,"(1, 1, 2)","(0, 0, 2, 12)",,2876.8,2896.1,25078351.8
20002,"(1, 1, 2)","(0, 1, 0, 12)",,3196.6,3209.7,56940.2
20002,"(1, 1, 2)","(0, 1, 1, 12)",,2963.9,2980.0,57966.4
20002,"(1, 1, 2)","(0, 1, 2, 12)",,2725.3,2744.2,154462213.1
20002,"(1, 1, 2)","(1, 0, 0, 12)",,3089.3,3105.7,82883.6
20002,"(1, 1, 2)","(1, 0, 1, 12)",,3043.0,3062.6,85655.8
20002,"(1, 1, 2)","(1, 0, 2, 12)",,2859.6,2882.1,25075837.1
